Name,Position X,Position Y,Position Z
Point01,-2.282173,151.904275,1.598899
Point02,6.887182,138.998672,1.855148
Point03,12.097587,123.465639,1.911717
Point04,15.699202,107.58891,1.895004
Point05,18.917238,91.650231,1.861036
Point06,21.698815,75.608091,1.807076
Point07,24.070008,59.418103,1.73377
Point08,26.723797,43.366925,1.674187
Point09,27.971389,27.051243,1.550942
Point10,29.092489,10.755675,1.422447
Point11,29.668694,-5.585275,1.269902
Point12,30.111712,-21.767911,1.113319
Point13,30.38268,-38.07072,0.947994
Point14,30.928249,-54.219612,0.79621
Point15,31.331481,-70.590957,0.635858
Point16,30.813628,-86.937191,0.43596
Point17,29.871665,-103.281049,0.217752
Point18,28.787758,-119.618914,-0.006526
Point19,27.944882,-135.845685,-0.219178
Point20,23.320816,-150.980378,-0.583434
Point21,17.479886,-151.587317,-0.842533
Point22,11.548859,-151.825738,-1.101524
Point23,5.61721,-151.807966,-1.35776
Point24,-0.30225,-151.611822,-1.611532
Point25,-6.398002,-150.989099,-1.868292
Point26,-12.544711,-151.423513,-2.138736
Point27,-18.711758,-151.349126,-2.404534
Point28,-24.826988,-151.07024,-2.66587
Point29,-30.207143,-136.07289,-2.735595
Point30,-31.44261,-119.841304,-2.612738
Point31,-31.834414,-103.623121,-2.453555
Point32,-30.841492,-87.414547,-2.234614
Point33,-29.743962,-71.218361,-2.011285
Point34,-29.810478,-54.95429,-1.837541
Point35,-28.727846,-38.725773,-1.614505
Point36,-29.092935,-22.458883,-1.453639
Point37,-28.968986,-6.200368,-1.271721
Point38,-28.454714,10.072017,-1.07278
Point39,-27.607098,26.31453,-0.859752
Point40,-26.244155,42.532659,-0.62471
Point41,-24.648327,58.706938,-0.380078
Point42,-23.177563,74.92164,-0.140412
Point43,-20.665522,90.957877,0.14233
Point44,-18.65591,107.112372,0.404636
Point45,-14.695735,122.841841,0.74665
Point46,-10.156712,138.408446,1.11192
