Name,Position X,Position Y,Position Z
Point01,-0.223839,73.362591,0.973502
Point02,4.102069,67.13802,0.609418
Point03,6.729977,59.842063,0.347218
Point04,8.363678,52.245932,0.148492
Point05,9.658858,44.5665,-0.028401
Point06,10.072902,36.91816,-0.145571
Point07,10.750898,29.181662,-0.281552
Point08,11.2726,21.455761,-0.40688
Point09,11.440026,13.722151,-0.508431
Point10,11.160832,5.949604,-0.580349
Point11,12.321408,-1.68484,-0.747649
Point12,11.923651,-9.309834,-0.809857
Point13,11.752944,-17.050939,-0.888717
Point14,12.058931,-24.818587,-1
Point15,11.897622,-32.513086,-1.078948
Point16,12.800153,-40.12584,-1.228611
Point17,13.362219,-47.877748,-1.356962
Point18,14.156176,-55.621366,-1.500838
Point19,14.688321,-63.379706,-1.627248
Point20,16.294188,-70.894605,-1.823151
Point21,12.313701,-71.934766,-1.567136
Point22,8.085683,-72.373254,-1.287422
Point23,3.885662,-73.072764,-1.012641
Point24,-0.365284,-73.363167,-0.729654
Point25,-4.401905,-73.146489,-0.455186
Point26,-8.446611,-73.14964,-0.18274
Point27,-12.479583,-72.873882,0.092171
Point28,-16.121902,-71.384793,0.354928
Point29,-14.844782,-63.834824,0.35702
Point30,-14.515927,-56.037408,0.425882
Point31,-14.188541,-48.3299,0.493794
Point32,-13.402934,-40.630717,0.53074
Point33,-13.145906,-32.868456,0.604031
Point34,-11.841892,-25.200381,0.60569
Point35,-12.056106,-17.394489,0.711237
Point36,-12.578118,-9.657172,0.836719
Point37,-12.658038,-1.888123,0.932789
Point38,-12.033596,5.823081,0.980732
Point39,-11.961175,13.626447,1.066939
Point40,-12.483583,21.332334,1.192081
Point41,-11.211078,28.975819,1.195575
Point42,-10.850599,36.764351,1.262204
Point43,-10.007786,44.470534,1.295377
Point44,-9.03816,52.172005,1.319953
Point45,-7.293405,59.776161,1.291173
Point46,-4.447895,66.997711,1.183773
