Name,Position X,Position Y,Position Z
Point01,0.323678,55.46394,1.483901
Point02,-4.3974,51.853742,1.470312
Point03,-7.058375,46.335519,1.34681
Point04,-9.834781,40.934516,1.22981
Point05,-12.546,35.440935,1.108261
Point06,-14.977998,29.889266,0.978484
Point07,-16.513518,23.965956,0.816129
Point08,-18.100208,18.048819,0.655134
Point09,-19.476158,12.091268,0.488042
Point10,-20.681823,6.130242,0.316994
Point11,-21.141606,0.208865,0.130443
Point12,-20.878964,-5.871296,-0.07768
Point13,-20.372282,-11.985219,-0.29243
Point14,-20.343119,-18.071231,-0.495483
Point15,-19.224809,-24.052086,-0.719601
Point16,-17.97908,-30.042353,-0.946905
Point17,-17.016295,-36.086501,-1.169621
Point18,-16.258153,-42.136339,-1.387911
Point19,-16.218775,-48.256155,-1.592318
Point20,-15.921048,-54.369434,-1.802334
Point21,-12.358895,-55.081322,-1.906343
Point22,-8.435102,-54.189202,-1.965165
Point23,-4.422261,-53.919472,-2.046693
Point24,-0.435807,-53.365796,-2.118184
Point25,3.128626,-54.25909,-2.228277
Point26,6.820719,-54.480478,-2.318905
Point27,10.482251,-54.977769,-2.418018
Point28,13.902836,-54.216648,-2.469849
Point29,14.697862,-48.179624,-2.287012
Point30,14.557827,-42.060041,-2.080343
Point31,15.369511,-36.129422,-1.901421
Point32,16.945368,-30.224539,-1.740589
Point33,18.571344,-24.316016,-1.580766
Point34,19.693739,-18.301339,-1.406056
Point35,20.908912,-12.28714,-1.233455
Point36,21.467038,-6.200618,-1.04363
Point37,20.345246,-0.201083,-0.818812
Point38,20.13928,5.904496,-0.611122
Point39,18.578912,11.807389,-0.379627
Point40,17.110994,17.747535,-0.148978
Point41,14.866046,23.386746,0.089187
Point42,13.522971,29.211748,0.313191
Point43,11.751916,34.997001,0.545525
Point44,9.364459,40.613249,0.78614
Point45,6.948219,46.22382,1.027215
Point46,3.96778,51.56266,1.271978
