Name,Position X,Position Y,Position Z
Point01,0.363337,50.380597,-0.292503
Point02,3.594154,46.214242,-0.311625
Point03,5.852032,41.205204,-0.321425
Point04,8.093451,36.183326,-0.331069
Point05,9.911955,31.048284,-0.337091
Point06,11.90569,25.916142,-0.34454
Point07,13.790985,20.847062,-0.351215
Point08,15.151821,15.500264,-0.353166
Point09,15.600226,10.044584,-0.347531
Point10,15.810557,4.684541,-0.340128
Point11,16.525635,-0.644515,-0.336871
Point12,16.580226,-6.03873,-0.328147
Point13,16.402759,-11.515925,-0.317399
Point14,15.670882,-16.959927,-0.302212
Point15,14.716977,-22.356539,-0.285304
Point16,13.608612,-27.738886,-0.267168
Point17,13.689563,-33.196173,-0.25855
Point18,13.227039,-38.664541,-0.245506
Point19,13.395151,-44.164149,-0.237523
Point20,13.232638,-49.614459,-0.226943
Point21,10.090882,-49.725699,-0.201273
Point22,6.801414,-49.833132,-0.174412
Point23,3.543445,-49.494716,-0.148564
Point24,0.261885,-49.755716,-0.121505
Point25,-3.019376,-50.071376,-0.094357
Point26,-6.353821,-49.714561,-0.06792
Point27,-9.668671,-50.197404,-0.040215
Point28,-12.967063,-49.996962,-0.013804
Point29,-12.946864,-44.513424,-0.023287
Point30,-12.765759,-39.075243,-0.033997
Point31,-12.896727,-33.582023,-0.042271
Point32,-13.174365,-28.084602,-0.049361
Point33,-13.584166,-22.628174,-0.05531
Point34,-15.24865,-17.387545,-0.050717
Point35,-16.144435,-11.94336,-0.052704
Point36,-16.851971,-6.483108,-0.056245
Point37,-16.880559,-0.977043,-0.06537
Point38,-16.395382,4.516956,-0.078642
Point39,-15.708083,10.000569,-0.093535
Point40,-14.598381,15.395846,-0.111704
Point41,-13.07334,20.665364,-0.133028
Point42,-10.963241,25.720295,-0.158732
Point43,-9.709219,31.091077,-0.17803
Point44,-7.606074,36.161515,-0.203704
Point45,-5.39322,41.195477,-0.230206
Point46,-2.795918,46.03184,-0.25949
