Name,Position X,Position Y,Position Z
Point01,0.295093,61.527702,-1.012216
Point02,4.474433,56.873742,-0.807383
Point03,7.577883,51.358523,-0.619341
Point04,9.580531,45.272837,-0.453901
Point05,11.010343,39.141796,-0.304613
Point06,12.069428,32.954054,-0.165299
Point07,12.751149,26.600139,-0.034247
Point08,13.249911,20.443009,0.087959
Point09,13.829465,14.084699,0.216066
Point10,14.296528,7.716114,0.341025
Point11,15.104656,1.396106,0.475224
Point12,15.837979,-4.94932,0.607654
Point13,16.067565,-11.294574,0.725182
Point14,16.402315,-17.689594,0.846689
Point15,16.763668,-24.072626,0.968774
Point16,16.946545,-30.452008,1.085516
Point17,17.419921,-36.698721,1.208535
Point18,17.030315,-43.076424,1.308316
Point19,17.570829,-49.451722,1.435564
Point20,16.826744,-55.669959,1.522078
Point21,12.559748,-56.774998,1.415158
Point22,8.145138,-56.909459,1.286934
Point23,3.750307,-57.32307,1.164167
Point24,-0.555589,-58.277757,1.053473
Point25,-4.328488,-58.879129,0.952378
Point26,-7.951209,-59.944072,0.863814
Point27,-11.606846,-61.040214,0.774822
Point28,-15.301471,-60.875731,0.662676
Point29,-17.543877,-54.715184,0.488838
Point30,-17.32305,-48.033844,0.378766
Point31,-17.175191,-41.308147,0.265762
Point32,-16.361351,-34.638481,0.173434
Point33,-16.366158,-27.90934,0.055854
Point34,-16.739089,-21.237281,-0.071617
Point35,-16.913756,-14.540557,-0.193654
Point36,-16.854878,-7.822082,-0.309164
Point37,-16.217592,-1.161862,-0.40655
Point38,-16.033208,5.534376,-0.517959
Point39,-15.417646,12.233581,-0.616668
Point40,-15.410172,18.967832,-0.733973
Point41,-14.809901,25.628053,-0.832453
Point42,-14.141455,32.301162,-0.929142
Point43,-12.996846,38.910527,-1.010635
Point44,-10.871372,45.290845,-1.05912
Point45,-7.840589,51.276834,-1.073946
Point46,-3.860651,56.692599,-1.050748
