Name,Position X,Position Y,Position Z
Point01,0.639299,54.177222,0.313568
Point02,3.249191,49.463716,0.106487
Point03,4.686299,44.044906,-0.018985
Point04,5.433947,38.535523,-0.095168
Point05,6.534557,33.055319,-0.196654
Point06,6.953969,27.459526,-0.249547
Point07,7.296996,21.922653,-0.296699
Point08,7.449589,16.38463,-0.330141
Point09,7.796134,10.807616,-0.377709
Point10,8.145873,5.282368,-0.425298
Point11,8.236334,-0.311446,-0.454491
Point12,8.490051,-5.914189,-0.495478
Point13,8.694204,-11.535706,-0.532971
Point14,8.745994,-17.052031,-0.559064
Point15,8.500277,-22.619849,-0.563939
Point16,8.548139,-28.132556,-0.589735
Point17,8.776116,-33.756277,-0.628953
Point18,8.86947,-39.379128,-0.658472
Point19,8.483539,-44.92176,-0.653146
Point20,9.925102,-50.269603,-0.778652
Point21,8.54379,-52.679081,-0.688933
Point22,6.05601,-53.389481,-0.512636
Point23,3.2836,-53.102805,-0.311796
Point24,0.516158,-53.218103,-0.112944
Point25,-2.393817,-53.44453,0.095723
Point26,-5.311934,-53.4565,0.305846
Point27,-8.094449,-53.991247,0.504083
Point28,-9.859162,-51.815191,0.640005
Point29,-7.657409,-46.596098,0.502586
Point30,-7.358135,-40.871541,0.504239
Point31,-6.554128,-35.236835,0.469175
Point32,-6.769687,-29.522341,0.507867
Point33,-6.46511,-23.811784,0.509081
Point34,-7.028364,-18.1003,0.572803
Point35,-7.184038,-12.440356,0.606961
Point36,-6.999735,-6.704151,0.616941
Point37,-7.202414,-0.984405,0.654726
Point38,-6.900838,4.643441,0.655821
Point39,-7.592894,10.233442,0.728327
Point40,-7.086839,15.797803,0.714438
Point41,-6.736334,21.466443,0.712174
Point42,-5.866853,27.049627,0.672186
Point43,-5.689697,32.738852,0.68249
Point44,-4.686231,38.338864,0.63292
Point45,-3.802469,43.910092,0.591855
Point46,-2.044944,49.355038,0.487346
