Name,Position X,Position Y,Position Z
Point01,0.619228,74.79029,0.091614
Point02,4.298577,67.994277,0.257166
Point03,7.373747,60.635954,0.388257
Point04,8.56205,52.753577,0.417069
Point05,10.52117,45.069561,0.487595
Point06,11.656173,37.19541,0.513617
Point07,12.441362,29.257127,0.52082
Point08,13.12682,21.306212,0.522683
Point09,13.310968,13.379049,0.498077
Point10,12.844819,5.438908,0.438949
Point11,13.399591,-2.475754,0.434042
Point12,13.750144,-10.453211,0.418038
Point13,13.532127,-18.405354,0.372009
Point14,13.329109,-26.321675,0.326931
Point15,12.783693,-34.188568,0.263918
Point16,12.672983,-42.127533,0.223634
Point17,13.001297,-50.101186,0.206468
Point18,13.61023,-58.047638,0.204294
Point19,13.937434,-66.001242,0.187157
Point20,14.286675,-73.859232,0.171602
Point21,10.809836,-74.037987,-0.013453
Point22,7.24168,-74.113096,-0.202899
Point23,3.699914,-74.47878,-0.392205
Point24,0.139796,-74.536493,-0.58115
Point25,-3.587382,-74.71496,-0.779472
Point26,-7.302888,-74.420714,-0.975126
Point27,-11.004161,-74.018556,-1.169558
Point28,-14.610829,-73.999436,-1.360637
Point29,-12.764236,-66.387915,-1.229766
Point30,-12.815588,-58.384753,-1.197793
Point31,-13.211421,-50.402777,-1.18417
Point32,-13.212934,-42.399706,-1.149556
Point33,-12.683771,-34.425312,-1.086939
Point34,-13.047703,-26.417973,-1.071515
Point35,-13.160144,-18.387123,-1.04266
Point36,-13.810448,-10.497833,-1.042926
Point37,-13.380185,-2.575582,-0.985777
Point38,-13.016521,5.424014,-0.931823
Point39,-13.127359,13.42748,-0.903001
Point40,-12.409927,21.395866,-0.830432
Point41,-12.430715,29.419695,-0.796749
Point42,-11.57405,37.321786,-0.717087
Point43,-10.457618,45.275707,-0.623433
Point44,-9.076207,53.170588,-0.51599
Point45,-6.835357,60.867837,-0.363851
Point46,-3.558834,68.190245,-0.158444
