Name,Position X,Position Y,Position Z
Point01,-0.386277,61.077101,0.082735
Point02,2.619479,55.655126,-0.01381
Point03,4.096781,49.489576,-0.022509
Point04,6.006985,43.393394,-0.054525
Point05,7.045886,37.253167,-0.040669
Point06,7.913765,30.914033,-0.015704
Point07,9.38122,24.742406,-0.023823
Point08,10.049787,18.426223,0.01127
Point09,10.653064,12.118308,0.049673
Point10,10.721796,5.718518,0.116936
Point11,10.78002,-0.673593,0.184661
Point12,10.978757,-7.063687,0.245045
Point13,10.73285,-13.433778,0.328368
Point14,11.205982,-19.741565,0.373548
Point15,11.302,-26.132634,0.439293
Point16,11.908684,-32.510396,0.478292
Point17,11.82717,-38.775878,0.551894
Point18,12.147442,-45.170181,0.605994
Point19,12.948233,-51.43441,0.633625
Point20,14.464723,-57.562594,0.622471
Point21,10.820098,-58.327122,0.820774
Point22,7.032476,-58.712219,1.022326
Point23,3.26309,-59.278641,1.224935
Point24,-0.506003,-59.822164,1.427276
Point25,-3.846563,-59.99537,1.603196
Point26,-7.124722,-60.684182,1.781573
Point27,-10.473071,-60.636636,1.955455
Point28,-13.741349,-60.715925,2.12657
Point29,-13.931815,-54.332153,2.065825
Point30,-13.455444,-47.807865,1.968791
Point31,-13.452999,-41.296509,1.896586
Point32,-13.185571,-34.740949,1.810088
Point33,-12.162362,-28.309161,1.685594
Point34,-12.44612,-21.72779,1.627522
Point35,-12.494432,-15.140392,1.557118
Point36,-12.783123,-8.59133,1.49966
Point37,-12.019401,-2.107052,1.388101
Point38,-10.930152,4.383019,1.259522
Point39,-10.665849,10.922364,1.173368
Point40,-10.240143,17.4718,1.078694
Point41,-9.833108,24.037787,0.98481
Point42,-9.015712,30.538323,0.870275
Point43,-9.297631,37.097714,0.81235
Point44,-8.323623,43.590245,0.689746
Point45,-5.948125,49.708274,0.498288
Point46,-3.394592,55.678952,0.299187
