Name,Position X,Position Y,Position Z
Point01,0.248502,49.907442,-0.063696
Point02,3.963928,46.037844,-0.102249
Point03,5.969957,41.05519,-0.12173
Point04,7.52712,35.858123,-0.136238
Point05,8.906759,30.654009,-0.148817
Point06,10.422285,25.522869,-0.162904
Point07,11.486965,20.296682,-0.172053
Point08,12.83054,15.059357,-0.184225
Point09,14.03268,9.757362,-0.194831
Point10,14.212168,4.353904,-0.194288
Point11,14.918509,-1.00651,-0.199485
Point12,14.905681,-6.428962,-0.196845
Point13,13.551841,-11.646617,-0.179741
Point14,13.252002,-17.0244,-0.174006
Point15,12.496849,-22.384671,-0.163336
Point16,12.20397,-27.806706,-0.157656
Point17,11.853492,-33.217548,-0.151356
Point18,12.465851,-38.622192,-0.155512
Point19,13.647271,-43.886464,-0.165911
Point20,14.056055,-49.232796,-0.167884
Point21,10.617505,-49.720373,-0.130328
Point22,7.082424,-49.669929,-0.091973
Point23,3.538854,-49.838026,-0.053424
Point24,0.006919,-49.641102,-0.015171
Point25,-3.39025,-49.592456,0.021688
Point26,-6.800685,-49.802219,0.058811
Point27,-10.180523,-49.537852,0.095382
Point28,-13.409668,-48.670514,0.130039
Point29,-13.172418,-43.330783,0.125002
Point30,-12.355025,-38.011153,0.113675
Point31,-12.355041,-32.620363,0.111189
Point32,-12.306849,-27.303374,0.108214
Point33,-12.375038,-22.020622,0.106518
Point34,-13.471019,-16.847022,0.116031
Point35,-13.894341,-11.509435,0.118166
Point36,-14.301222,-6.124579,0.1201
Point37,-14.114103,-0.824479,0.115625
Point38,-14.385544,4.586578,0.116077
Point39,-14.378887,9.913687,0.113548
Point40,-13.552265,15.274828,0.102102
Point41,-12.268209,20.534682,0.085736
Point42,-10.503701,25.540928,0.064271
Point43,-9.092575,30.678936,0.046582
Point44,-7.243977,35.745463,0.024176
Point45,-5.164068,40.715415,-0.000696
Point46,-2.867941,45.594679,-0.027874
