Name,Position X,Position Y,Position Z
Point01,0.184232,62.820955,0.017086
Point02,4.500238,58.223759,0.026307
Point03,7.519586,52.108224,0.012999
Point04,9.118717,45.49424,-0.017048
Point05,11.157918,38.981571,-0.042271
Point06,12.725167,32.344051,-0.072778
Point07,13.86283,25.688529,-0.107444
Point08,14.668709,18.951371,-0.145784
Point09,15.439601,12.164483,-0.184791
Point10,15.57311,5.369638,-0.22984
Point11,16.070882,-1.427852,-0.271485
Point12,15.628783,-8.258255,-0.322185
Point13,15.392169,-15.023645,-0.370511
Point14,14.828193,-21.778127,-0.421838
Point15,14.620358,-28.612103,-0.470361
Point16,14.547516,-35.393857,-0.51726
Point17,14.874121,-42.172244,-0.560384
Point18,14.831153,-48.918852,-0.606762
Point19,15.239607,-55.680431,-0.649002
Point20,15.241215,-62.382272,-0.694657
Point21,11.655442,-62.308025,-0.727839
Point22,7.929005,-62.061165,-0.761167
Point23,4.202873,-62.288776,-0.797725
Point24,0.523839,-61.990425,-0.830257
Point25,-2.863769,-61.164884,-0.856458
Point26,-6.370312,-61.097293,-0.888941
Point27,-9.830482,-61.148134,-0.921796
Point28,-13.147873,-60.128909,-0.946017
Point29,-13.798925,-53.881138,-0.909558
Point30,-12.690156,-47.491766,-0.855601
Point31,-13.337236,-40.915612,-0.816866
Point32,-13.764869,-34.322318,-0.775954
Point33,-14.256241,-27.686377,-0.735349
Point34,-15.065423,-21.022218,-0.697538
Point35,-15.524511,-14.425237,-0.656896
Point36,-15.609872,-7.753868,-0.612236
Point37,-15.450063,-1.045481,-0.56502
Point38,-15.647093,5.623572,-0.521424
Point39,-14.81152,12.225419,-0.468585
Point40,-14.061813,18.871755,-0.41625
Point41,-12.442414,25.356619,-0.356844
Point42,-11.146868,31.920981,-0.29994
Point43,-8.970063,38.262528,-0.236274
Point44,-7.260005,44.705629,-0.176301
Point45,-5.740726,51.21629,-0.11766
Point46,-3.51527,57.436141,-0.054366
