Name,Position X,Position Y,Position Z
Point01,-0.251462,112.011997,1.379754
Point02,6.650442,103.343577,0.914962
Point03,10.230564,91.96386,0.607746
Point04,12.693694,80.287119,0.359423
Point05,14.689025,68.511995,0.136014
Point06,16.740869,56.75119,-0.090382
Point07,17.790601,44.866697,-0.262571
Point08,18.217981,32.935935,-0.400802
Point09,18.556859,21.005594,-0.534136
Point10,18.782796,9.078337,-0.661198
Point11,19.261278,-2.852546,-0.802255
Point12,19.851821,-14.746121,-0.949148
Point13,19.995945,-26.63504,-1.071319
Point14,20.334633,-38.559968,-1.204591
Point15,20.553935,-50.486374,-1.331278
Point16,20.776905,-62.405212,-1.458095
Point17,20.700137,-74.33755,-1.568473
Point18,20.77556,-86.249345,-1.687066
Point19,21.095432,-98.062413,-1.818224
Point20,22.029449,-109.89829,-1.983549
Point21,16.590823,-111.119655,-1.694645
Point22,10.833848,-111.197034,-1.377153
Point23,5.10925,-111.633227,-1.064898
Point24,-0.644305,-111.942071,-0.749819
Point25,-5.914104,-111.653449,-0.455742
Point26,-11.172565,-111.96713,-0.168077
Point27,-16.435712,-111.737885,0.125062
Point28,-21.561315,-110.906465,0.416382
Point29,-21.975889,-99.058225,0.553112
Point30,-21.753451,-87.063686,0.656035
Point31,-21.87843,-75.064171,0.778211
Point32,-21.835636,-63.066416,0.891095
Point33,-21.670396,-51.06283,0.997266
Point34,-21.498229,-39.186747,1.10183
Point35,-21.477993,-27.188523,1.215966
Point36,-21.504508,-15.204954,1.332545
Point37,-21.583387,-3.204793,1.452178
Point38,-21.298998,8.795367,1.55173
Point39,-20.08794,20.715045,1.599285
Point40,-19.78742,32.686599,1.697671
Point41,-18.439018,44.587954,1.737457
Point42,-17.381061,56.505173,1.793451
Point43,-16.001505,68.427224,1.831715
Point44,-13.318218,80.081896,1.795342
Point45,-10.963596,91.742623,1.777195
Point46,-7.081235,103.059119,1.671291
